iter	Passed	Remaining
0	140	139935
1	141	70531
2	142	47383
3	143	35823
4	145	28916
5	146	24267
6	147	20915
7	149	18533
8	151	16670
9	152	15073
10	153	13772
11	154	12701
12	155	11805
13	156	11009
14	157	10341
15	157	9715
16	158	9188
17	160	8737
18	161	8347
19	163	8006
20	164	7659
21	165	7353
22	166	7082
23	167	6822
24	168	6573
25	169	6349
26	170	6143
27	171	5944
28	172	5767
29	173	5595
30	174	5446
31	175	5296
32	176	5166
33	177	5052
34	178	4927
35	179	4813
36	180	4698
37	181	4592
38	182	4491
39	183	4396
40	183	4303
41	184	4212
42	185	4129
43	186	4046
44	186	3968
45	187	3895
46	188	3821
47	189	3753
48	190	3690
49	191	3629
50	191	3568
51	192	3508
52	193	3449
53	193	3392
54	194	3337
55	194	3285
56	195	3234
57	196	3185
58	196	3137
59	197	3091
60	197	3045
61	198	3000
62	198	2957
63	199	2916
64	199	2876
65	200	2837
66	200	2798
67	201	2762
68	202	2728
69	203	2697
70	203	2663
71	204	2631
72	205	2604
73	206	2579
74	207	2553
75	207	2523
76	208	2495
77	208	2468
78	209	2442
79	210	2416
80	210	2390
81	211	2366
82	211	2338
83	212	2314
84	212	2292
85	213	2268
86	214	2246
87	214	2224
88	215	2202
89	215	2181
90	216	2161
91	216	2141
92	217	2123
93	218	2103
94	218	2084
95	219	2067
96	220	2051
97	221	2035
98	221	2017
99	222	2000
100	222	1983
101	223	1966
102	223	1949
103	224	1934
104	225	1917
105	225	1902
106	226	1888
107	226	1873
108	227	1858
109	227	1844
110	228	1830
111	229	1816
112	229	1802
113	230	1788
114	230	1775
115	231	1763
116	231	1749
117	232	1736
118	232	1724
119	233	1711
120	234	1700
121	234	1687
122	235	1679
123	236	1670
124	237	1660
125	237	1650
126	238	1638
127	238	1627
128	239	1617
129	240	1607
130	240	1597
131	241	1587
132	241	1576
133	242	1566
134	242	1556
135	243	1546
136	244	1537
137	244	1528
138	245	1518
139	245	1509
140	246	1500
141	246	1490
142	247	1482
143	247	1473
144	248	1464
145	249	1456
146	249	1449
147	250	1442
148	251	1434
149	251	1426
150	252	1419
151	253	1411
152	253	1404
153	254	1396
154	254	1389
155	255	1382
156	256	1374
157	256	1367
158	257	1360
159	257	1352
160	258	1344
161	258	1338
162	259	1330
163	259	1324
164	260	1318
165	260	1311
166	261	1304
167	262	1298
168	262	1292
169	263	1285
170	264	1280
171	264	1275
172	265	1269
173	266	1265
174	267	1259
175	267	1253
176	268	1248
177	268	1242
178	269	1236
179	270	1230
180	270	1225
181	271	1220
182	272	1214
183	272	1208
184	273	1202
185	273	1197
186	274	1192
187	274	1187
188	275	1182
189	276	1177
190	276	1172
191	277	1167
192	278	1162
193	278	1157
194	279	1153
195	280	1149
196	280	1144
197	281	1139
198	282	1135
199	282	1130
200	283	1125
201	283	1121
202	284	1116
203	285	1112
204	285	1107
205	286	1103
206	286	1098
207	287	1094
208	287	1089
209	288	1085
210	289	1081
211	289	1077
212	290	1073
213	291	1069
214	291	1065
215	292	1061
216	293	1057
217	293	1053
218	294	1049
219	295	1046
220	295	1042
221	296	1040
222	297	1036
223	298	1032
224	298	1029
225	299	1025
226	299	1021
227	300	1017
228	301	1013
229	301	1010
230	302	1006
231	302	1002
232	303	999
233	304	995
234	304	991
235	305	988
236	305	984
237	306	980
238	306	976
239	307	973
240	307	969
241	308	966
242	309	962
243	309	959
244	310	956
245	311	953
246	311	950
247	312	947
248	312	943
249	313	940
250	314	937
251	314	934
252	315	930
253	315	927
254	316	924
255	316	921
256	317	917
257	318	914
258	318	911
259	319	908
260	319	905
261	320	902
262	321	899
263	321	896
264	322	893
265	322	890
266	323	887
267	323	884
268	324	881
269	325	878
270	325	876
271	326	874
272	327	872
273	328	869
274	328	866
275	329	864
276	330	861
277	330	858
278	331	856
279	331	853
280	332	850
281	333	848
282	333	845
283	334	842
284	334	839
285	335	837
286	335	834
287	336	831
288	337	829
289	337	826
290	338	824
291	339	822
292	340	820
293	341	819
294	342	817
295	342	815
296	343	813
297	344	811
298	345	808
299	345	806
300	346	804
301	346	801
302	347	798
303	347	796
304	348	794
305	349	791
306	349	789
307	350	787
308	350	784
309	351	782
310	351	779
311	352	777
312	353	775
313	353	773
314	354	770
315	355	769
316	356	767
317	357	766
318	358	764
319	358	762
320	359	759
321	359	757
322	360	755
323	361	753
324	361	751
325	362	749
326	362	746
327	363	744
328	364	742
329	364	740
330	365	738
331	366	736
332	366	734
333	367	732
334	368	730
335	368	728
336	369	726
337	370	725
338	371	724
339	372	722
340	372	720
341	373	718
342	374	716
343	374	714
344	375	712
345	375	710
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	379	696
353	380	694
354	380	692
355	381	690
356	382	688
357	383	687
358	383	685
359	384	683
360	385	682
361	386	680
362	387	679
363	388	678
364	389	677
365	389	675
366	390	673
367	391	671
368	391	669
369	392	667
370	392	666
371	393	664
372	394	662
373	394	660
374	395	658
375	395	656
376	396	654
377	396	653
378	397	651
379	397	649
380	398	647
381	399	645
382	399	643
383	400	642
384	401	641
385	402	639
386	402	638
387	403	636
388	404	634
389	404	632
390	405	631
391	405	629
392	406	627
393	407	626
394	407	624
395	408	622
396	408	621
397	409	619
398	410	618
399	411	616
400	411	615
401	412	613
402	412	611
403	413	610
404	414	608
405	414	606
406	415	605
407	417	605
408	418	604
409	418	602
410	419	601
411	420	599
412	420	598
413	421	596
414	422	595
415	422	593
416	423	591
417	424	590
418	424	588
419	425	587
420	425	585
421	426	583
422	426	582
423	427	580
424	427	579
425	428	577
426	429	576
427	429	574
428	430	573
429	432	573
430	433	572
431	433	570
432	434	568
433	434	567
434	435	565
435	436	564
436	436	562
437	437	561
438	438	560
439	439	558
440	439	557
441	440	555
442	440	554
443	441	552
444	441	551
445	442	549
446	443	548
447	443	546
448	444	545
449	445	544
450	447	544
451	448	543
452	449	542
453	449	541
454	450	539
455	451	538
456	451	536
457	452	535
458	453	534
459	453	532
460	454	531
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	458	522
467	458	521
468	459	520
469	460	518
470	460	517
471	461	516
472	462	515
473	463	513
474	463	512
475	464	510
476	464	509
477	465	508
478	465	506
479	466	505
480	467	504
481	468	503
482	468	501
483	469	500
484	470	499
485	470	497
486	471	496
487	471	494
488	472	493
489	472	492
490	473	490
491	474	489
492	474	488
493	475	487
494	477	486
495	478	486
496	479	485
497	480	484
498	480	482
499	481	481
500	482	480
501	483	479
502	483	478
503	484	477
504	485	475
505	486	474
506	486	473
507	487	472
508	488	471
509	489	470
510	490	469
511	492	468
512	492	467
513	493	466
514	494	465
515	494	464
516	495	462
517	496	461
518	496	460
519	497	459
520	498	457
521	498	456
522	499	455
523	500	454
524	500	453
525	501	451
526	502	450
527	502	449
528	503	448
529	504	447
530	505	446
531	506	445
532	507	444
533	508	443
534	509	442
535	509	441
536	510	439
537	510	438
538	511	437
539	512	436
540	512	435
541	513	433
542	514	432
543	514	431
544	515	430
545	516	429
546	517	428
547	517	426
548	518	425
549	518	424
550	519	423
551	520	422
552	520	421
553	521	419
554	522	418
555	522	417
556	523	416
557	523	414
558	524	413
559	525	412
560	525	411
561	526	410
562	527	409
563	527	408
564	528	406
565	528	405
566	529	404
567	530	403
568	530	401
569	531	400
570	531	399
571	532	398
572	532	397
573	533	395
574	534	394
575	535	393
576	536	392
577	537	392
578	538	391
579	538	390
580	539	389
581	540	387
582	540	386
583	541	385
584	542	384
585	542	383
586	543	382
587	544	381
588	544	380
589	545	378
590	545	377
591	546	376
592	546	375
593	547	374
594	547	372
595	548	371
596	549	370
597	550	369
598	550	368
599	551	367
600	551	366
601	552	365
602	553	364
603	553	363
604	554	361
605	554	360
606	555	359
607	555	358
608	556	357
609	557	356
610	557	355
611	558	353
612	558	352
613	559	351
614	559	350
615	560	349
616	561	348
617	561	347
618	562	346
619	562	345
620	563	343
621	564	342
622	564	341
623	566	341
624	566	340
625	567	339
626	568	338
627	568	336
628	569	335
629	569	334
630	570	333
631	571	332
632	571	331
633	572	330
634	572	329
635	573	328
636	574	327
637	574	326
638	575	324
639	575	323
640	576	322
641	576	321
642	577	320
643	577	319
644	578	318
645	578	317
646	579	316
647	580	315
648	580	314
649	581	313
650	582	312
651	582	311
652	583	310
653	583	308
654	584	307
655	585	306
656	585	305
657	586	304
658	586	303
659	587	302
660	587	301
661	588	300
662	589	299
663	589	298
664	590	297
665	590	296
666	591	295
667	591	294
668	592	293
669	593	292
670	593	291
671	594	290
672	594	289
673	595	288
674	596	287
675	597	286
676	598	285
677	598	284
678	599	283
679	600	282
680	600	281
681	601	280
682	602	279
683	602	278
684	603	277
685	603	276
686	604	275
687	605	274
688	605	273
689	606	272
690	606	271
691	607	270
692	607	269
693	608	268
694	609	267
695	609	266
696	610	265
697	611	264
698	612	263
699	612	262
700	613	261
701	613	260
702	614	259
703	615	258
704	615	257
705	616	256
706	617	255
707	617	254
708	618	253
709	618	252
710	619	251
711	619	250
712	620	249
713	621	248
714	621	247
715	622	246
716	622	245
717	623	244
718	623	243
719	624	242
720	625	241
721	626	241
722	627	240
723	627	239
724	628	238
725	628	237
726	629	236
727	630	235
728	630	234
729	631	233
730	632	232
731	632	231
732	633	230
733	634	229
734	634	228
735	635	227
736	636	227
737	636	226
738	637	225
739	637	224
740	638	223
741	639	222
742	639	221
743	640	220
744	641	219
745	641	218
746	642	217
747	643	216
748	643	215
749	644	214
750	645	213
751	645	212
752	646	211
753	646	211
754	647	210
755	648	209
756	648	208
757	649	207
758	649	206
759	650	205
760	650	204
761	651	203
762	651	202
763	652	201
764	652	200
765	653	199
766	654	198
767	654	197
768	655	196
769	656	195
770	656	195
771	657	194
772	658	193
773	658	192
774	659	191
775	660	190
776	660	189
777	661	188
778	661	187
779	662	186
780	663	185
781	663	184
782	664	184
783	664	183
784	665	182
785	665	181
786	666	180
787	667	179
788	667	178
789	668	177
790	668	176
791	669	175
792	670	175
793	671	174
794	672	173
795	673	172
796	673	171
797	674	170
798	675	169
799	675	168
800	676	168
801	676	167
802	677	166
803	678	165
804	678	164
805	679	163
806	679	162
807	680	161
808	681	160
809	681	159
810	682	158
811	682	158
812	683	157
813	684	156
814	684	155
815	685	154
816	687	153
817	688	153
818	689	152
819	690	151
820	691	150
821	691	149
822	692	148
823	693	148
824	693	147
825	694	146
826	695	145
827	695	144
828	696	143
829	697	142
830	697	141
831	698	140
832	698	140
833	699	139
834	699	138
835	700	137
836	701	136
837	702	135
838	702	134
839	703	133
840	703	133
841	704	132
842	705	131
843	705	130
844	706	129
845	707	128
846	707	127
847	708	127
848	709	126
849	709	125
850	710	124
851	711	123
852	711	122
853	712	121
854	712	120
855	713	120
856	714	119
857	714	118
858	715	117
859	716	116
860	718	115
861	719	115
862	719	114
863	720	113
864	720	112
865	721	111
866	722	110
867	722	109
868	723	109
869	724	108
870	724	107
871	725	106
872	725	105
873	726	104
874	727	103
875	727	103
876	728	102
877	728	101
878	729	100
879	730	99
880	731	98
881	732	97
882	733	97
883	733	96
884	734	95
885	734	94
886	735	93
887	736	92
888	737	92
889	738	91
890	739	90
891	740	89
892	741	88
893	741	87
894	742	87
895	743	86
896	743	85
897	744	84
898	744	83
899	745	82
900	747	82
901	748	81
902	749	80
903	750	79
904	751	78
905	752	78
906	752	77
907	753	76
908	754	75
909	754	74
910	755	73
911	756	72
912	756	72
913	757	71
914	758	70
915	758	69
916	759	68
917	759	67
918	760	67
919	761	66
920	762	65
921	763	64
922	763	63
923	764	62
924	765	62
925	765	61
926	766	60
927	767	59
928	768	58
929	768	57
930	769	57
931	770	56
932	771	55
933	771	54
934	772	53
935	772	52
936	773	52
937	774	51
938	774	50
939	775	49
940	776	48
941	777	47
942	778	47
943	779	46
944	780	45
945	781	44
946	782	43
947	782	42
948	783	42
949	784	41
950	785	40
951	785	39
952	786	38
953	787	37
954	787	37
955	788	36
956	789	35
957	789	34
958	790	33
959	791	32
960	792	32
961	793	31
962	794	30
963	794	29
964	795	28
965	795	28
966	796	27
967	797	26
968	797	25
969	798	24
970	798	23
971	799	23
972	800	22
973	800	21
974	801	20
975	802	19
976	802	18
977	803	18
978	803	17
979	804	16
980	805	15
981	806	14
982	807	13
983	808	13
984	808	12
985	809	11
986	810	10
987	810	9
988	811	9
989	812	8
990	812	7
991	813	6
992	814	5
